DS10,E1,E2,P1
17.08,19.00,22.00,
8.33,7.00,12.00,0.00
17.08,13.00,26.00,2.00
8.75,16.00,5.00,
10.83,16.00,9.00,0.00
14.58,14.00,21.00,
11.25,16.00,10.00,0.00
14.17,22.00,12.00,
12.08,15.00,14.00,
10.00,18.00,6.00,
12.50,20.00,10.00,
6.67,9.00,7.00,0.00
10.83,17.00,9.00,
14.58,13.00,22.00,
7.92,6.00,12.00,1.00
3.33,7.00,1.00,
10.83,12.00,14.00,
7.50,10.00,8.00,
10.42,14.00,11.00,
8.33,14.00,6.00,
5.00,5.00,7.00,
10.42,15.00,10.00,
17.08,26.00,15.00,
13.33,21.00,11.00,
12.50,15.00,14.00,
12.92,12.00,19.00,
11.25,22.00,5.00,
1.25,0.00,2.00,
9.58,18.00,4.00,
15.83,16.00,19.00,3.00
20.00,27.00,21.00,
5.83,8.00,7.00,-1.00
15.00,25.00,11.00,
4.17,5.00,5.00,
8.33,11.00,9.00,
13.75,24.00,9.00,
1.25,2.00,1.00,
14.58,26.00,9.00,
